season,player_id,player,kind,touched,yards,epa,fumble_lost
2015,00-0027651,D.McCluster,rush,1,-1.0,-0.842,0
2015,00-0030789,A.Andrews,target,1,12.0,1.5254,0
2015,00-0024389,D.Walker,target,1,8.0,0.5806,0
2015,00-0027651,D.McCluster,target,1,35.0,1.9933,0
2015,00-0030789,A.Andrews,rush,1,13.0,0.7753,0
2015,00-0032130,J.Fowler,rush,1,3.0,-0.3835,0
2015,00-0029708,K.Wright,target,0,0.0,-0.5946,0
2015,00-0030521,J.Hunter,target,0,0.0,-0.5065,0
2015,00-0031611,J.Robinson,rush,1,3.0,-0.1048,0
2015,00-0031339,D.Moncrief,target,1,9.0,0.6546,0
2015,00-0029708,K.Wright,target,1,16.0,0.9817,0
2015,00-0030789,A.Andrews,rush,1,2.0,-0.4336,0
2015,00-0024389,D.Walker,target,0,0.0,-0.4535,0
2015,00-0029708,K.Wright,target,0,0.0,-0.6613,0
2015,00-0024268,A.Fasano,target,1,26.0,2.8306,0
2015,00-0029708,K.Wright,target,1,5.0,-0.1741,0
2015,00-0024389,D.Walker,target,1,19.0,2.6184,0
2015,00-0031413,B.Sankey,rush,1,8.0,0.4525,0
2015,00-0030789,A.Andrews,rush,1,1.0,-0.2734,0
2015,00-0032130,J.Fowler,rush,1,2.0,0.439,0
2015,00-0032218,D.Green-Beckham,target,0,0.0,-0.4952,0
2015,00-0029708,K.Wright,target,1,7.0,2.4233,0
2015,00-0023500,F.Gore,rush,1,18.0,0.1787,0
2015,00-0029697,C.Fleener,target,1,19.0,0.5007,0
2015,00-0029668,A.Luck,rush,1,15.0,-0.5194,0
2015,00-0023500,F.Gore,rush,1,3.0,-0.3324,0
2015,00-0031339,D.Moncrief,target,0,0.0,-0.7421,0
2015,00-0031413,B.Sankey,target,1,20.0,1.8067,0
